Ulagan ,2009—,Director,CPC,Autonomous Regional Committee,Propaganda Department,Inner Mongolia Autonomous Region
Ulagan ,2009—,Member,CPC,Autonomous Regional Committee,Standing Committee,Inner Mongolia Autonomous Region
Ulagan ,2007—2012,Alternate Member,CPC,Central Committee
Ulagan ,2003—2009,Vice-Chairman,Autonomous Region People's Government,Inner Mongolia Autonomous Region
Ulagan ,2003—2003,Deputy Secretary,CPC,Autonomous County Committee,Inner Mongolia Autonomous Region,Bayannaoer County
Ulagan ,2001—2003,Deputy Secretary,CPC,Autonomous City Committee,Inner Mongolia Autonomous Region,Ordos City
Ulagan ,2000—2003,Student,CPC,Central Committee,Central Party School,Postgraduate Department
Ulagan ,2000—2001,Student,CPC,Central Committee,Central Party School,Cadre Training Class
Ulagan ,1996—2000,Chairman,Inner Mongolia Youth Federation,Inner Mongolia Autonomous Region
Ulagan ,1996—2000,Secretary,CYLC,Provincial-Level,Inner Mongolia Autonomous Region
Ulagan ,1996—1998,Student,Chinese Academy of Social Sciences,Graduate School,Economics Department
Ulagan ,1995—1997,Student,CPC,Central Committee,Central Party School
Ulagan ,1991—1991,Deputy Secretary,CPC,Autonomous County Committee,Inner Mongolia Autonomous Region,Chayou Zhongqi County
Ulagan ,1990—1991,Student,CPC,Central Committee,Central Party School,Cadre Training Class
Ulagan ,1988—1996,Deputy Secretary,CYLC,Provincial-Level,Inner Mongolia Autonomous Region
Ulagan ,1987—1996,Member,CYLC,Provincial-Level,Inner Mongolia Autonomous Region
Ulagan ,1986—1988,Deputy Secretary,CYLC,City-Level,Inner Mongolia Autonomous Region,Baotou City
Ulagan ,1983—1986,Deputy Director,CYLC,City-Level,General Office,Inner Mongolia Autonomous Region,Baotou City
Ulagan ,1983—1986,Deputy Director,CYLC,City-Level,Organization Department,Inner Mongolia Autonomous Region,Baotou City
Ulagan ,1978—1980,Cadre,CYLC,City-Level,General Office,Inner Mongolia Autonomous Region,Baotou City
Ulanhu ,1988—1993,Vice-Chairman,Standing Committee of the NPC
Ulanhu ,1978—1983,Vice-Chairman,Standing Committee of the NPC
Ulanhu ,1975—1978,Vice-Chairman,Standing Committee of the NPC
Uyunqimg ,2008—2013,Vice-Chairman,Standing Committee of the NPC
Uyunqimg ,2007—2012,Member,CPC,Central Committee
Uyunqimg ,2003—2008,Vice-Chairman,Standing Committee of the NPC
Uyunqimg ,2002—2007,Member,CPC,Central Committee
Uyunqimg ,2001—,Chairman,Autonomous Region People's Government,Inner Mongolia Autonomous Region
Uyunqimg ,2000—2001,Vice-Chairman,Autonomous Region People's Government,Inner Mongolia Autonomous Region
Uyunqimg ,1997—2002,Alternate Member,CPC,Central Committee
Uyunqimg ,1994—,Deputy Secretary,CPC,Autonomous Regional Committee,Inner Mongolia Autonomous Region
Uyunqimg ,1993—????,Deputy Director,Committee for Comprehensive Management of Public Security,Inner Mongolia Autonomous Region
Uyunqimg ,1992—1997,Alternate Member,CPC,Central Committee
Uyunqimg ,1989—1994,Member,CPC,Autonomous Regional Committee,Standing Committee,Inner Mongolia Autonomous Region
Uyunqimg ,1988—1994,Head,CPC,Autonomous Regional Committee,Publicity Department,Inner Mongolia Autonomous Region
Uyunqimg ,1987—1992,Delegate,CPC,National Congress
Uyunqimg ,1984—1988,Director,Women's Union of Inner Mongolia
Uyunqimg ,1983—1984,Member,CPC,Autonomous City Committee,Standing Committee,Inner Mongolia Autonomous Region,Baotou City
Uyunqimg ,1983—1984,Director,CPC,Autonomous City Committee,Organization Department,Inner Mongolia Autonomous Region,Baotou City
Uyunqimg ,1980—1983,Deputy Director,CPC,Autonomous City Committee,Organization Department,Inner Mongolia Autonomous Region,Baotou City
Uyunqimg ,1980—1983,Secretary,CPC,Autonomous City Committee,Organization Department,Inner Mongolia Autonomous Region,Baotou City
Uyunqimg ,1979—1980,Secretary,Economic Committee,Inner Mongolia Autonomous Region,Baotou City
Uyunqimg ,1968—1979,Editor,Baotou Daily,Inner Mongolia Autonomous Region,Baotou City
Uyunqimg ,1966,Joined,CPC
Uyunqimg ,1964—1968,Teacher,CPC,Autonomous City Committee,Party School,Inner Mongolia Autonomous Region,Baotou City
Uyunqimg ,1960—1964,Student,CPC,Autonomous Regional Committee,Party School,Inner Mongolia Autonomous Region
Uyunqimg ,1960,Graduate,Inner Mongolia University of Science and Technology,Inner Mongolia Autonomous Region
